ClaimID,PolicyID,ClaimType,ClaimAmount,ClaimStatus,ClaimDate,AdjusterID
C127,P023,Natural Disaster,4194,In Review,2023-06-02,A006
C128,P054,Theft,19992,In Review,2023-06-09,A013
C129,P005,Accident,8505,Open,2023-06-16,A003
C130,P056,Theft,15045,Closed,2023-06-23,A017
C131,P079,Accident,18391,Open,2023-06-30,A015
C132,P034,Theft,10390,Closed,2023-07-07,A002
C133,P077,Theft,1915,In Review,2023-07-14,A010
C134,P092,Accident,11818,Closed,2023-07-21,A009
C135,P013,Theft,3196,In Review,2023-07-28,A018
C136,P042,Theft,17795,In Review,2023-08-04,A005
C137,P059,Theft,16745,Closed,2023-08-11,A015
C138,P009,Theft,14565,Open,2023-08-18,A004
C139,P043,Theft,8816,In Review,2023-08-25,A012
C140,P040,Accident,6940,In Review,2023-09-01,A002
C141,P085,Natural Disaster,19295,Open,2023-09-08,A019
C142,P001,Accident,15951,In Review,2023-09-15,A008
C143,P066,Theft,8594,In Review,2023-09-22,A017
C144,P010,Natural Disaster,12428,In Review,2023-09-29,A002
C145,P006,Accident,11236,Closed,2023-10-06,A004
C146,P079,Accident,19137,Open,2023-10-13,A019
C147,P006,Accident,7217,Open,2023-10-20,A012
C148,P008,Theft,13402,Open,2023-10-27,A011
C149,P096,Accident,1382,Open,2023-11-03,A010
C150,P080,Accident,13796,In Review,2023-11-10,A013
